DATE,RGDPNATWA666NRUG
2001-01-01,573121.8125
2002-01-01,604536.75
2003-01-01,630076.25
2004-01-01,673876.875
2005-01-01,710154.4375
2006-01-01,751134.5625
2007-01-01,802591.5
2008-01-01,809005.0625
2009-01-01,795956.125
2010-01-01,877505.3125
2011-01-01,909745.375
2012-01-01,929955.4375
2013-01-01,953051.875
2014-01-01,998028.625
2015-01-01,1012657.375
2016-01-01,1034582.4375
2017-01-01,1068841.375
2018-01-01,1098183.625
2019-01-01,1127988.75
